    ,Ngày đăng bài,Tên,Giá,Năm SX,Nhiên liệu,Kiểu dáng,Tình trạng,Km đã đi,Hộp số,Xuất xứ,Tỉnh thành
0,12/09/2025,Lexus RX 350 Luxury 2024,4 tỉ 290 triệu,2024,Máy xăng,SUV,Xe cũ,3.900 km,Số tự động,Nhập khẩu,Gò Vấp - Tp.HCM
1,05/10/2025,Hyundai Tucson 2.0 Tiêu chuẩn 2019,590 triệu,2019,Máy xăng,SUV,Xe cũ,59.000 km,Số tự động,Trong nước,Lâm Đồng
2,29/09/2025,Honda HR-V L 2019,535 triệu,2019,Máy xăng,SUV,Xe cũ,01 km,Số tự động,Nhập khẩu,Nha Trang - Khánh Hòa
3,01/10/2025,Mitsubishi Xpander 1.5 MT 2020,443 triệu,2020,Máy xăng,MPV,Xe cũ,10.000 km,Số sàn,Nhập khẩu,Hà Nội
4,27/09/2025,Suzuki XL7 GLX 2022,450 triệu,2022,Máy xăng,SUV,Xe cũ,52.000 km,Số tự động,Nhập khẩu,Đồng Nai
5,27/09/2025,Hyundai i20 1.4 AT 2010,215 triệu,2010,Máy xăng,Hatchback,Xe cũ,85.000 km,Số tự động,Nhập khẩu,Tp.HCM
6,02/10/2025,Toyota Camry 2.4G 2007,290 triệu,2007,Máy xăng,Sedan,Xe cũ,110.000 km,Số tự động,Trong nước,Bà Rịa Vũng Tàu
7,07/10/2025,Toyota Vios G 2024,505 triệu,2024,Máy xăng,Sedan,Xe cũ,1.196 km,Số tự động,Trong nước,Quận 6 - Tp.HCM
8,17/09/2025,Ford Ranger XLS 2.2 4x2 MT 2018,465 triệu,2018,Máy dầu,Bán tải,Xe cũ,78.000 km,Số sàn,Trong nước,Tân Phú - Tp.HCM
9,05/10/2025,VinFast VF e34 Tiêu chuẩn 2022,465 triệu,2022,Điện,SUV,Xe cũ,66.666 km,Số tự động,Nhập khẩu,Bình Dương
10,29/09/2025,Suzuki Ciaz 1.4 AT 2019,325 triệu,2019,Máy xăng,Sedan,Xe cũ,53.000 km,Số tự động,Nhập khẩu,Bình Thạnh - Tp.HCM
11,28/09/2025,Chevrolet Aveo LTZ 1.5 AT 2015,185 triệu,2015,Máy xăng,Sedan,Xe cũ,42.000 km,Số tự động,Trong nước,Tp.HCM
12,28/09/2025,Honda CR-V 2.0 2009,245 triệu,2009,Máy xăng,SUV,Xe cũ,123.456 km,Số tự động,Trong nước,Hải Phòng
